所有CPC成效報告 - Shopee台灣
使用者名稱,yutsai_petmarket
賣場名稱,有才寵物商店
賣場ID,1351956369
報表匯出時間,2026/09/10 11:20
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,2354,80,3.40%,-,-,26,14,32.50%,17.50%,38.46,71.43,126,46,15826.00,12143.00,1000.00,15.83,12.14,6.32%,8.24%,-,-,-,0.00,0.00
2,🔥快速到貨🔥送肉泥🍭有才寵物商店【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【300g-1.5kg】小包裝 [2],正在進行,商品廣告,28915827114,-,全站推廣 - 系統自動最佳化,所有,2025/07/15 00:00:00,無限制,1540,42,2.73%,13,30.95%,4,2,9.52%,4.76%,25.00,50.00,4,2,2400.00,2400.00,100.00,24.00,24.00,4.17%,4.17%,-,-,-,0.00,0.00
3,🍭有才寵物商店🔥送肉泥🔥【法國皇家 ROYAL CANIN】貓飼料 原廠正貨 皇家貓飼料 幼母貓 成貓【小包裝】 [3],正在進行,商品廣告,28963481159,-,全站推廣 - 系統自動最佳化,所有,2026/03/16 00:00:00,無限制,572,7,1.22%,2,28.57%,4,3,57.14%,42.86%,37.50,50.00,4,3,3956.00,3956.00,150.00,26.37,26.37,3.79%,3.79%,-,-,-,0.00,0.00
4,🔥買大送小🔥送肉泥🍭有才寵物商店【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【5kg-10kg】大包裝,正在進行,商品廣告,28722843719,-,全站推廣 - 系統自動最佳化,所有,2026/01/19 00:00:00,無限制,527,11,2.09%,3,27.27%,2,1,18.18%,9.09%,200.00,400.00,2,1,5160.00,5160.00,400.00,12.90,12.90,7.75%,7.75%,-,-,-,0.00,0.00
5,🍭有才寵物商店🔥快速到貨🔥【SHINY 雪亮】葉黃素口服美容精華液 寵物保健 寵物葉黃素 犬貓護眼 貓狗護眼 30ml,正在進行,商品廣告,57310891981,-,全站推廣 - 系統自動最佳化,所有,2026/05/26 00:00:00,無限制,419,11,2.63%,0,0.00%,3,3,27.27%,27.27%,33.33,33.33,8,8,1080.00,1080.00,100.00,10.80,10.80,9.26%,9.26%,-,-,-,0.00,0.00
6,🍭有才寵物商店🔥快速到貨🔥【CHARM 野性魅力】貓糧 貓飼料 飼料 乾糧 貓咪飼料【5.4kg】大包裝,正在進行,商品廣告,27629583464,-,全站推廣 - 系統自動最佳化,所有,2026/04/02 00:00:00,無限制,416,13,3.12%,0,0.00%,2,1,15.38%,7.69%,49.75,99.50,2,1,1799.00,1799.00,99.50,18.08,18.08,5.53%,5.53%,-,-,-,0.00,0.00
7,🍭有才寵物商店🔥快速到貨🔥【薛丁格】貓凍乾 凍乾零食 貓零食 寵物凍乾 寵物零食 厚切里肌 罐裝 40g-300g,正在進行,商品廣告,28126563881,-,全站推廣 - 系統自動最佳化,所有,2025/06/23 00:00:00,無限制,308,8,2.60%,4,50.00%,1,1,12.50%,12.50%,100.00,100.00,2,2,668.00,668.00,100.00,6.68,6.68,14.97%,14.97%,-,-,-,0.00,0.00
8,🍭有才寵物商店🔥原廠正貨🔥【法國皇家 ROYAL CANIN】貓濕糧 皇家濕糧 幼母貓 成貓 餐包 (85g) [2],正在進行,商品廣告,28463487706,-,全站推廣 - 系統自動最佳化,所有,2026/04/16 00:00:00,無限制,160,3,1.88%,4,133.33%,16,10,533.33%,333.33%,6.25,10.00,181,169,7217.00,6415.00,100.00,72.17,64.15,1.39%,1.56%,-,-,-,0.00,0.00
9,🔥送肉泥🍭有才寵物商店🔥快速到貨🔥【TOMA-PRO 優格】貓飼料 經典/零穀/親親 貓糧 乾糧【大包裝】,正在進行,商品廣告,29573156162,-,全站推廣 - 系統自動最佳化,所有,2025/10/02 00:00:00,無限制,144,4,2.78%,0,0.00%,8,2,200.00%,50.00%,25.00,100.00,9,3,5491.00,4219.00,200.00,27.45,21.09,3.64%,4.74%,-,-,-,0.00,0.00
10,🍭有才寵物商店🔥快速到貨🔥【NB 自然平衡】犬飼料 狗飼料 天然犬糧 乾糧 低敏無穀 成犬【大包裝】12LB-24LB,正在進行,商品廣告,42651612455,-,全站推廣 - 系統自動最佳化,所有,2025/07/16 00:00:00,無限制,115,3,2.61%,0,0.00%,3,1,100.00%,33.33%,66.67,200.00,4,2,4096.00,3968.00,200.00,20.48,19.84,4.88%,5.04%,-,-,-,0.00,0.00
11,🍭有才寵物商店🔥快速到貨🔥【Wealtz 維爾滋】貓飼料 天然無穀貓糧 高肉類蛋白【1.2kg / 2.1kg】小包,已暫停,商品廣告,28818381651,-,全站推廣 - 系統自動最佳化,所有,2026/04/25 00:00:00,無限制,731,19,2.60%,2,10.53%,4,2,21.05%,10.53%,25.00,50.00,5,3,2063.00,2063.00,100.00,20.63,20.63,4.85%,4.85%,-,-,-,0.00,0.00
