所有CPC成效報告 - Shopee台灣
使用者名稱,spiked_fur_store
賣場名稱,毛一堆寵物超市
賣場ID,1412193494
報表匯出時間,2026/09/10 11:22
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/02/21 00:00:00,無限制,428,10,2.34%,-,-,13,8,130.00%,80.00%,76.92,125.00,187,154,14171.00,12977.00,1000.00,14.17,12.98,7.06%,7.71%,-,-,-,0.00,0.00
2,【快速到貨】🔥🔥毛一堆寵物超市【NB 自然平衡】犬飼料 狗飼料 乾糧 犬糧 低敏無穀 成犬【小包裝】4LB-4.5LB,正在進行,商品廣告,27172433372,-,全站推廣 - 系統自動最佳化,所有,2026/04/14 00:00:00,無限制,1139,26,2.28%,5,19.23%,2,2,7.69%,7.69%,34.34,34.34,3,3,2775.00,2775.00,68.67,40.41,40.41,2.47%,2.47%,-,-,-,0.00,0.00
3,【快速到貨】🔥毛一堆寵物超市🔥【NB 自然平衡】犬飼料 狗飼料 乾糧 天然犬糧 低敏無穀【大包裝】12LB-24LB,正在進行,商品廣告,28136754454,-,全站推廣 - 系統自動最佳化,所有,2025/09/09 00:00:00,無限制,964,11,1.14%,2,18.18%,1,1,9.09%,9.09%,150.00,150.00,1,1,1969.00,1969.00,150.00,13.13,13.13,7.62%,7.62%,-,-,-,0.00,0.00
4,【快速到貨】台灣現貨🔥毛一堆寵物超市【享生活】戶外雙層收納箱 戶外收納箱 露營廂 車用收納箱 置物箱 民生用品 生活用品,正在進行,商品廣告,53459599087,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,741,5,0.67%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,12.82,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,🔥送肉泥🔥毛一堆寵物【法國皇家 ROYAL CANIN】貓飼料 貓糧 乾糧 皇家貓飼料 幼母貓 成貓【小包裝】 [2],正在進行,商品廣告,26071225433,-,全站推廣 - 系統自動最佳化,所有,2026/03/06 00:00:00,無限制,737,16,2.17%,4,25.00%,6,3,37.50%,18.75%,16.67,33.33,6,3,4522.00,4483.00,100.00,45.22,44.83,2.21%,2.23%,-,-,-,0.00,0.00
6,【快速到貨】🔥毛一堆寵物超市🔥【CHARM 野性魅力】犬糧 狗飼料 犬飼料 狗糧 乾糧【5.4kg/10kg】大包裝,正在進行,商品廣告,41801543773,-,全站推廣 - 系統自動最佳化,所有,2026/03/02 00:00:00,無限制,611,5,0.82%,1,20.00%,4,0,80.00%,0.00%,25.00,0.00,5,0,5578.00,0.00,100.00,55.78,0.00,1.79%,0.00%,-,-,-,0.00,0.00
7,【傘の世界】快速到貨 台灣現貨🔥節節收安全自動晴雨傘 陽傘 自動傘 雨傘 傘 生活用品 民生用品 毛一堆寵物超市,正在進行,商品廣告,49765828894,-,"第一階段：系統自動最佳化, 第二階段：系統自動最佳化",所有,2026/08/21 00:00:00,無限制,426,13,3.05%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,16.19,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
8,【快速到貨】🔥毛一堆寵物超市【NUTRAM 紐頓】貓糧 貓飼料 飼料 乾飼料 乾糧 5.4kg 大包裝 [2],正在進行,商品廣告,42608004734,-,全站推廣 - 系統自動最佳化,所有,2026/03/14 00:00:00,無限制,380,10,2.63%,2,20.00%,5,1,50.00%,10.00%,40.00,200.00,5,1,3413.00,2069.00,200.00,17.07,10.35,5.86%,9.67%,-,-,-,0.00,0.00
9,【快速到貨】🔥送肉泥 毛一堆寵物【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【300g-1.5kg】小包裝,正在進行,商品廣告,26422860413,-,全站推廣 - 系統自動最佳化,所有,2025/07/03 00:00:00,無限制,321,8,2.49%,1,12.50%,4,2,50.00%,25.00%,25.00,50.00,9,2,1982.00,1693.00,100.00,19.82,16.93,5.05%,5.91%,-,-,-,0.00,0.00
10,【快速到貨】🔥毛一堆寵物超市【素力高】血漿精華系列犬糧 犬飼料 狗飼料 無穀飼料 1.7kg 小包裝,正在進行,商品廣告,26376758600,-,全站推廣 - 系統自動最佳化,所有,2026/08/26 00:00:00,無限制,276,9,3.26%,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,88.41,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
11,【快速到貨】🔥原廠正貨🔥毛一堆寵物超市【法國皇家 ROYAL CANIN】貓濕糧 皇家濕糧 幼母貓 成貓 餐包 (85g [2],正在進行,商品廣告,28171150824,-,全站推廣 - 系統自動最佳化,所有,2026/04/15 00:00:00,無限制,49,2,4.08%,0,0.00%,9,3,450.00%,150.00%,11.11,33.33,99,93,3700.00,3459.00,100.00,37.00,34.59,2.70%,2.89%,-,-,-,0.00,0.00
