所有CPC成效報告 - Shopee台灣
使用者名稱,petstar5566
賣場名稱,毛寵星人樂園
賣場ID,1289237956
報表匯出時間,2026/09/10 11:16
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,555,20,3.60%,-,-,6,5,30.00%,25.00%,50.00,60.00,62,60,3177.00,3165.00,300.00,10.59,10.55,9.44%,9.48%,-,-,-,0.00,0.00
2,🚀快速到貨🚀毛寵星人【瑞威 REAL POWER】狗飼料 狗糧 狗乾糧 犬飼料 犬糧 飼料 乾糧 大包裝 10kg,正在進行,商品廣告,54458371714,-,全站推廣 - 系統自動最佳化,所有,2026/05/04 00:00:00,無限制,1137,30,2.64%,5,16.67%,3,2,10.00%,6.67%,133.33,200.00,3,2,4420.00,4000.00,400.00,11.05,10.00,9.05%,10.00%,-,-,-,0.00,0.00
3,🚀快速到貨🚀毛寵星人【Wealtz 維爾滋】貓飼料 天然無穀貓糧 高肉類蛋白【6kg】大包,正在進行,商品廣告,29570432751,-,全站推廣 - 系統自動最佳化,所有,2026/06/30 00:00:00,無限制,541,18,3.33%,7,38.89%,6,3,33.33%,16.67%,50.00,100.00,6,3,5237.00,5237.00,300.00,17.46,17.46,5.73%,5.73%,-,-,-,0.00,0.00
4,🚀快速到貨🚀毛寵星人【瑪恩吉 天然全能貓系列】貓飼料 貓糧 幼貓 成貓 結紮貓【10kg】大包 [2],正在進行,商品廣告,26775582892,-,全站推廣 - 系統自動最佳化,所有,2026/05/26 00:00:00,無限制,506,9,1.78%,3,33.33%,1,1,11.11%,11.11%,100.00,100.00,1,1,1950.00,1950.00,100.00,19.50,19.50,5.13%,5.13%,-,-,-,0.00,0.00
5,🔥送肉泥🔥毛寵星人【TOMA-PRO 優格】貓飼料 經典/零穀/親親系列 貓糧 飼料 乾糧【大包裝】 [3],正在進行,商品廣告,28164623738,-,全站推廣 - 系統自動最佳化,所有,2026/03/17 00:00:00,無限制,443,15,3.39%,7,46.67%,3,2,20.00%,13.33%,66.67,100.00,3,2,2626.00,2626.00,200.00,13.13,13.13,7.62%,7.62%,-,-,-,0.00,0.00
6,【傘の世界】台灣現貨🚀快速到貨🚀反向晴雨傘 遮陽傘 雨傘 自動傘 反向傘 摺疊傘 生活用品 民生用品 毛寵星人,正在進行,商品廣告,48715958198,-,"第一階段：系統自動最佳化, 第二階段：系統自動最佳化",所有,2026/08/21 00:00:00,無限制,389,13,3.34%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,25.26,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
7,🚀快速到貨🚀毛寵星人【極光Auroria】無穀天然貓糧 貓飼料 貓糧 飼料 無穀天然 乾糧 1lb-4lb 小包,正在進行,商品廣告,47252828742,-,全站推廣 - 系統自動最佳化,所有,2026/07/24 00:00:00,無限制,346,8,2.31%,0,0.00%,2,0,25.00%,0.00%,50.00,0.00,2,0,1482.00,0.00,100.00,14.82,0.00,6.75%,0.00%,-,-,-,0.00,0.00
8,台灣現貨🚀快速到貨🚀毛寵星人【享生活】推車置物架 置物櫃 收納櫃 收納架 儲物架 層架 收納 民生用品 生活用品,正在進行,商品廣告,47953283452,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,281,5,1.78%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.46,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
9,🚀快速到貨🚀毛寵星人【Blue buffalo 藍摯】無穀貓飼料 貓乾糧 飼料 乾糧 小包裝 0.9kg-4.9kg,正在進行,商品廣告,26343539547,-,全站推廣 - 系統自動最佳化,所有,2026/03/31 00:00:00,無限制,272,8,2.94%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,24.18,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
10,🔥送肉泥🔥毛寵星人【TOMA-PRO 優格】貓飼料 經典/零穀/親親系列 貓糧 乾糧 飼料【小包裝】 [3],正在進行,商品廣告,28014625353,-,全站推廣 - 系統自動最佳化,所有,2025/06/03 00:00:00,無限制,127,4,3.15%,4,100.00%,8,4,200.00%,100.00%,18.75,37.50,10,6,3372.00,3228.00,150.00,22.48,21.52,4.45%,4.65%,-,-,-,0.00,0.00
11,🚀送肉泥🚀毛寵星人【法國皇家 ROYAL CANIN】貓飼料 貓糧 皇家貓飼料 幼母貓 成貓【小包裝】 [2],正在進行,商品廣告,25186801044,-,全站推廣 - 系統自動最佳化,所有,2026/04/01 00:00:00,無限制,74,1,1.35%,1,100.00%,3,2,300.00%,200.00%,33.33,50.00,3,2,2860.00,2860.00,100.00,28.60,28.60,3.50%,3.50%,-,-,-,0.00,0.00
