所有CPC成效報告 - Shopee台灣
使用者名稱,dogcatclub5566
賣場名稱,汪喵日總匯
賣場ID,1289276676
報表匯出時間,2026/09/10 11:16
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/02 00:00:00,無限制,1081,46,4.26%,-,-,8,6,17.39%,13.04%,93.75,125.00,18,15,3370.00,3067.00,750.00,4.49,4.09,22.26%,24.45%,-,-,-,0.00,0.00
2,🚀快速到貨🚀【台灣現貨】享生活 茶水間收納架 桌面收納 廚房收納 置物架 三層架 民生用品 生活用品 - 汪喵日總匯,正在進行,商品廣告,54509608565,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,389,19,4.88%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,11.26,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
3,🚀送肉泥🚀【法國皇家 ROYAL CANIN】貓飼料 貓乾糧 皇家貓飼料 幼母貓 成貓【小包裝】- 汪喵日總匯,正在進行,商品廣告,29709834425,-,全站推廣 - 系統自動最佳化,所有,2026/04/15 00:00:00,無限制,380,9,2.37%,3,33.33%,2,1,22.22%,11.11%,50.00,100.00,3,2,1874.00,1874.00,100.00,18.74,18.74,5.34%,5.34%,-,-,-,0.00,0.00
4,🚀快速到貨🚀送肉泥【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【300g-1.5kg】小包裝 - 汪喵日總匯 [3],正在進行,商品廣告,29315675816,-,全站推廣 - 系統自動最佳化,所有,2025/06/06 00:00:00,無限制,363,10,2.75%,0,0.00%,8,4,80.00%,40.00%,62.50,125.00,10,5,6138.00,5182.00,500.00,12.28,10.36,8.15%,9.65%,-,-,-,0.00,0.00
5,🚀快速到貨🚀【瑪恩吉】天然全能貓系列 真野 貓飼料 貓糧【1.5kg】小包 - 汪喵日總匯 [2],正在進行,商品廣告,29370977448,-,全站推廣 - 系統自動最佳化,所有,2026/01/05 00:00:00,無限制,253,6,2.37%,2,33.33%,5,3,83.33%,50.00%,20.00,33.33,8,6,2982.00,2982.00,100.00,29.82,29.82,3.35%,3.35%,-,-,-,0.00,0.00
6,🚀快速到貨🚀【耐吉斯 Solution】犬飼料 狗飼料 無穀飼料 E/P/V系列【4.5lb-10lb】小包-汪喵日總匯,正在進行,商品廣告,29913577778,-,全站推廣 - 系統自動最佳化,所有,2026/03/02 00:00:00,無限制,212,3,1.42%,1,33.33%,2,2,66.67%,66.67%,100.00,100.00,3,3,2520.00,2520.00,200.00,12.60,12.60,7.94%,7.94%,-,-,-,0.00,0.00
7,🚀送肉泥🚀【TOMA-PRO 優格】貓飼料 經典 /零穀/親親系列 貓糧 乾糧【大包裝】- 汪喵日總匯 [2],正在進行,商品廣告,26214601479,-,全站推廣 - 系統自動最佳化,所有,2025/06/19 00:00:00,2027/12/31 23:59:59,162,6,3.70%,0,0.00%,4,2,66.67%,33.33%,50.00,100.00,5,3,4219.00,4219.00,200.00,21.09,21.09,4.74%,4.74%,-,-,-,0.00,0.00
8,🚀快速到貨🚀【葛蕾特】精緻時光德國主食貓罐頭 貓罐頭 貓罐 主食罐 主食貓罐 罐頭 200g-800g - 汪喵日總匯,正在進行,商品廣告,46400812013,-,全站推廣 - 系統自動最佳化,所有,2026/05/06 00:00:00,無限制,157,4,2.55%,2,50.00%,19,12,475.00%,300.00%,26.32,41.67,105,92,11038.00,10763.00,500.00,22.08,21.53,4.53%,4.65%,-,-,-,0.00,0.00
9,🚀快速到貨🚀原廠正貨【法國皇家 ROYAL CANIN】貓濕糧 皇家濕糧 幼母貓 成貓 餐包 (85g) - 汪喵日總匯 [2],正在進行,商品廣告,27313419067,-,全站推廣 - 系統自動最佳化,所有,2026/04/15 00:00:00,無限制,74,6,8.11%,1,16.67%,2,2,33.33%,33.33%,50.00,50.00,34,34,1272.00,1272.00,100.00,12.72,12.72,7.86%,7.86%,-,-,-,0.00,0.00
10,🚀快速到貨🚀【葛蕾特】德國主食貓餐包 貓湯包 貓餐包 猫主食 德國餐包 猫濕糧 猫罐 85g- 汪喵日總匯,正在進行,商品廣告,45900821926,-,全站推廣 - 系統自動最佳化,所有,2026/01/19 00:00:00,無限制,28,1,3.57%,6,600.00%,2,2,200.00%,200.00%,50.00,50.00,56,56,3676.00,3676.00,100.00,36.76,36.76,2.72%,2.72%,-,-,-,0.00,0.00
