所有CPC成效報告 - Shopee台灣
使用者名稱,luckybear_pet
賣場名稱,熊好命寵物店
賣場ID,1527771224
報表匯出時間,2026/09/10 11:26
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,662,10,1.51%,-,-,3,3,30.00%,30.00%,66.67,66.67,47,47,2187.00,2187.00,200.00,10.94,10.94,9.14%,9.14%,-,-,-,0.00,0.00
2,台灣現貨🔥快速到貨🔥熊好命🧸【享生活】掀門式夾縫櫃 三層櫃 四層櫃 收納櫃 抽屜櫃 衛浴收納 民生用品 生活用品,正在進行,商品廣告,57859545148,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,1350,54,4.00%,4,7.41%,1,1,1.85%,1.85%,64.19,64.19,1,1,720.00,720.00,64.19,11.22,11.22,8.91%,8.91%,-,-,-,0.00,0.00
3,🧸熊好命🔥快速到貨🔥【葛蕾特】德國主食貓餐包 貓湯包 貓餐包 猫主食 德國餐包 猫濕糧 猫罐 85g,正在進行,商品廣告,51300806707,-,全站推廣 - 系統自動最佳化,所有,2026/05/06 00:00:00,無限制,1192,15,1.26%,2,13.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,32.36,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
4,🧸熊好命🔥快速到貨🔥【葛蕾特】精緻時光德國主食貓罐頭 貓罐頭 貓罐 主食罐 主食貓罐 貓咪罐頭 罐頭 200g-800g,正在進行,商品廣告,50600797157,-,全站推廣 - 系統自動最佳化,所有,2026/01/19 00:00:00,無限制,439,10,2.28%,14,140.00%,12,6,120.00%,60.00%,50.00,100.00,80,72,11272.00,11021.00,600.00,18.79,18.37,5.32%,5.44%,-,-,-,0.00,0.00
5,🧸熊好命🔥快速到貨🔥【耐吉斯 Solution 犬飼料】狗飼料 無穀飼料 幼犬 成犬 高齡犬【22lb】大包,正在進行,商品廣告,42901094919,-,全站推廣 - 系統自動最佳化,所有,2026/02/06 00:00:00,無限制,319,6,1.88%,5,83.33%,3,3,50.00%,50.00%,100.00,100.00,3,3,6297.00,6297.00,300.00,20.99,20.99,4.76%,4.76%,-,-,-,0.00,0.00
6,🧸熊好命🔥快速到貨🔥【Solid Gold 素力高】貓咪主食餐包12入 無穀餐包 貓餐包 貓主食 貓咪餐包 貓濕糧,正在進行,商品廣告,50761229101,-,全站推廣 - 系統自動最佳化,所有,2026/08/02 00:00:00,無限制,276,4,1.45%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.24,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
7,🧸熊好命🎁送肉泥🎁【法國皇家 ROYAL CANIN】貓飼料 貓乾糧 貓糧 皇家貓飼料 幼母貓 成貓【小包裝】 [2],正在進行,商品廣告,43452190197,-,全站推廣 - 系統自動最佳化,所有,2026/04/02 00:00:00,無限制,252,12,4.76%,2,16.67%,5,3,41.67%,25.00%,20.00,33.33,7,5,5758.00,5758.00,100.00,57.58,57.58,1.74%,1.74%,-,-,-,0.00,0.00
8,🔥快速到貨🔥送肉泥🧸熊好命【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【300g-1.5kg】小包裝,正在進行,商品廣告,26636611837,-,全站推廣 - 系統自動最佳化,所有,2025/12/31 00:00:00,無限制,234,6,2.56%,1,16.67%,5,3,83.33%,50.00%,20.00,33.33,5,3,2620.00,2620.00,100.00,26.20,26.20,3.82%,3.82%,-,-,-,0.00,0.00
9,🧸熊好命🔥快速到貨🔥柏萊富 犬飼料 犬糧 狗飼料 狗糧 乾糧 4.5磅/10磅 小包裝,正在進行,商品廣告,40151120097,-,全站推廣 - 系統自動最佳化,所有,2025/07/29 00:00:00,無限制,175,2,1.14%,0,0.00%,1,1,50.00%,50.00%,100.00,100.00,1,1,1199.00,1199.00,100.00,11.99,11.99,8.34%,8.34%,-,-,-,0.00,0.00
10,🧸熊好命🎁送肉泥🎁【TOMA-PRO 優格】貓飼料 經典 / 零穀 / 親親系列 貓糧【大包裝】 [2],正在進行,商品廣告,41201106935,-,全站推廣 - 系統自動最佳化,所有,2025/08/11 00:00:00,無限制,135,3,2.22%,0,0.00%,4,2,133.33%,66.67%,25.00,50.00,4,2,2765.00,2765.00,100.00,27.65,27.65,3.62%,3.62%,-,-,-,0.00,0.00
