所有CPC成效報告 - Shopee台灣
使用者名稱,winnie_pet_shop
賣場名稱,維尼寵物選物店
賣場ID,1524991537
報表匯出時間,2026/09/10 11:26
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/02 00:00:00,無限制,463,9,1.94%,-,-,1,1,11.11%,11.11%,200.00,200.00,2,2,2859.00,2859.00,200.00,14.29,14.29,7.00%,7.00%,-,-,-,0.00,0.00
2,🐻維尼寵物🎁送肉泥🎁【法國皇家 ROYAL CANIN】貓飼料 貓乾糧 貓糧 皇家貓飼料 幼母貓 成貓 小包裝,正在進行,商品廣告,27736932646,-,全站推廣 - 系統自動最佳化,所有,2026/03/26 00:00:00,無限制,857,30,3.50%,5,16.67%,4,2,13.33%,6.67%,50.00,100.00,23,2,2908.00,1888.00,200.00,14.54,9.44,6.88%,10.59%,-,-,-,0.00,0.00
3,🐻維尼寵物🔥快速到貨🔥【藍鑽】4倍貓砂系列 貓砂 貓用品 除臭貓砂 低塵 貓廁所 寵物清潔 4.2kg-8.5kg,正在進行,商品廣告,40730244761,-,全站推廣 - 系統自動最佳化,所有,2026/07/17 00:00:00,無限制,743,29,3.90%,3,10.34%,1,1,3.45%,3.45%,100.00,100.00,1,1,969.00,969.00,100.00,9.69,9.69,10.32%,10.32%,-,-,-,0.00,0.00
4,🐻維尼寵物🔥台灣現貨🔥快速到貨🔥【享生活】摺疊收納衣櫃 寶寶衣櫃 兒童衣櫃 摺疊衣櫃 收納櫃 民生用品 生活用品,正在進行,商品廣告,40577348099,-,全站推廣 - 系統自動最佳化,所有,2026/01/28 00:00:00,無限制,590,24,4.07%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,66.41,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,🐻維尼寵物🔥快速到貨🔥【驕傲貓 Cat Glory】芝心凍乾 綜合口味 貓凍乾 貓零食 貓點心 凍乾零食 100g,正在進行,商品廣告,46409974557,-,全站推廣 - 系統自動最佳化,所有,2026/05/26 00:00:00,無限制,566,6,1.06%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,37.65,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
6,🐻維尼寵物🔥快速到貨🔥【Wealtz 維爾滋】貓飼料 天然無穀貓糧 高肉類蛋白 無穀飼料【6kg】大包裝,正在進行,商品廣告,42202261936,-,全站推廣 - 系統自動最佳化,所有,2026/06/11 00:00:00,無限制,491,12,2.44%,3,25.00%,13,7,108.33%,58.33%,46.15,85.71,13,7,12273.00,12273.00,600.00,20.45,20.45,4.89%,4.89%,-,-,-,0.00,0.00
7,🐻維尼寵物🔥快速到貨🔥【歐姆貓】蜂王乳貓泥 綜合包 貓肉泥 肉泥 貓零食 貓食品 30條/60條 贈肉泥,正在進行,商品廣告,56356069437,-,全站推廣 - 系統自動最佳化,所有,2026/03/25 00:00:00,無限制,431,7,1.62%,0,0.00%,1,1,14.29%,14.29%,100.00,100.00,2,2,810.00,810.00,100.00,8.10,8.10,12.35%,12.35%,-,-,-,0.00,0.00
8,🐻維尼寵物🔥快速到貨🔥【愛可嚼 X Chew】起司塊 綜合口味 犬零食 狗零食 貓零食 寵物零食 綜合包 300g,正在進行,商品廣告,57909956677,-,全站推廣 - 系統自動最佳化,所有,2026/06/16 00:00:00,無限制,418,1,0.24%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,8.85,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
9,🐻維尼寵物【TOMA-PRO 優格】貓飼料 經典 / 零穀 / 親親系列 貓糧【大包裝】,正在進行,商品廣告,44401111747,-,全站推廣 - 系統自動最佳化,所有,2026/01/20 00:00:00,無限制,406,14,3.45%,0,0.00%,1,1,7.14%,7.14%,150.00,150.00,1,1,1434.00,1434.00,150.00,9.56,9.56,10.46%,10.46%,-,-,-,0.00,0.00
10,🐻維尼寵物🔥快速到貨🔥【CHARM 野性魅力】貓糧 貓飼料 飼料 乾糧 貓咪飼料【5.4kg】大包裝,正在進行,商品廣告,28436819907,-,全站推廣 - 系統自動最佳化,所有,2026/03/02 00:00:00,無限制,333,7,2.10%,2,28.57%,2,1,28.57%,14.29%,49.98,99.96,2,1,1769.00,1769.00,99.96,17.70,17.70,5.65%,5.65%,-,-,-,0.00,0.00
