所有CPC成效報告 - Shopee台灣
使用者名稱,pet_drive_thru
賣場名稱,貓狗得來速
賣場ID,1453594309
報表匯出時間,2026/09/10 11:25
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,958,34,3.55%,-,-,4,4,11.76%,11.76%,50.00,50.00,9,9,2248.00,2248.00,200.00,11.24,11.24,8.90%,8.90%,-,-,-,0.00,0.00
2,🚚貓狗得來速🔥快速到貨🔥【薛丁格】貓凍乾 凍乾零食 貓零食 寵物凍乾 寵物零食 厚切里肌 益生菌 罐裝 40g-300g,正在進行,商品廣告,26279159644,-,全站推廣 - 系統自動最佳化,所有,2025/10/22 00:00:00,無限制,1872,43,2.30%,6,13.95%,2,2,4.65%,4.65%,100.00,100.00,5,5,1395.00,1395.00,200.00,6.97,6.97,14.34%,14.34%,-,-,-,0.00,0.00
3,🚚貓狗得來速🔥快速到貨🔥【歐姆貓】蜂王乳貓泥 綜合包 貓肉泥 肉泥 貓零食 貓食品 30條/60條 贈肉泥,正在進行,商品廣告,42278699836,-,全站推廣 - 系統自動最佳化,所有,2026/03/25 00:00:00,無限制,1220,14,1.15%,0,0.00%,8,7,57.14%,50.00%,12.50,14.29,11,10,4180.00,3970.00,100.00,41.80,39.70,2.39%,2.52%,-,-,-,0.00,0.00
4,台灣現貨🔥快速到貨🔥貓狗得來速【享生活】抽拉式置物架 廚房置物架 兩層式 收納架 層架 置物櫃 民生用品 生活用品,正在進行,商品廣告,54555713474,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,490,31,6.33%,3,9.68%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,30.47,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,【傘の世界】台灣現貨🔥快速到貨🔥反向快乾粉彩雨傘 一甩即乾 摺疊傘 自動傘 反向傘 雨具 生活用品 民生用品 貓狗得來速,正在進行,商品廣告,48266264754,-,"第一階段：系統自動最佳化, 第二階段：系統自動最佳化",所有,2026/08/21 00:00:00,無限制,423,13,3.07%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,10.21,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
6,🚚貓狗得來速🔥快速到貨🔥【柏萊富 Blackwood】狗飼料 全系列犬糧 幼犬 成犬 全齡犬【24lb】大包,正在進行,商品廣告,26779894452,-,全站推廣 - 系統自動最佳化,所有,2025/11/19 00:00:00,無限制,270,5,1.85%,0,0.00%,1,1,20.00%,20.00%,100.00,100.00,1,1,2269.00,2269.00,100.00,22.69,22.69,4.41%,4.41%,-,-,-,0.00,0.00
7,🚚貓狗得來速🔥快速到貨🔥【藍鑽】4倍貓砂系列 貓砂 貓用品 除臭貓砂 低塵 貓廁所 寵物清潔 4.2kg-8.5kg,正在進行,商品廣告,56309229732,-,全站推廣 - 系統自動最佳化,所有,2026/07/17 00:00:00,無限制,220,7,3.18%,4,57.14%,2,2,28.57%,28.57%,50.00,50.00,2,2,1938.00,1938.00,100.00,19.38,19.38,5.16%,5.16%,-,-,-,0.00,0.00
8,🚚貓狗得來速🔥快速到貨🔥【NUTRAM 紐頓】貓糧 貓飼料 貓咪飼料 乾飼料 乾糧 5.4kg 大包裝 [2],正在進行,商品廣告,42508015480,-,全站推廣 - 系統自動最佳化,所有,2026/03/19 00:00:00,無限制,176,7,3.98%,2,28.57%,2,1,28.57%,14.29%,100.00,200.00,2,1,2088.00,2088.00,200.00,10.44,10.44,9.58%,9.58%,-,-,-,0.00,0.00
9,🚚貓狗得來速🔥快速到貨🔥【艾富鮮】火雞優多 火雞筋 量販包 犬零食 狗零食 潔牙骨 肉乾 寵物零食,正在進行,商品廣告,40252258762,-,全站推廣 - 系統自動最佳化,所有,2026/07/24 00:00:00,無限制,104,3,2.88%,0,0.00%,1,1,33.33%,33.33%,85.00,85.00,2,2,1010.00,1010.00,85.00,11.88,11.88,8.42%,8.42%,-,-,-,0.00,0.00
10,🚚貓狗得來速🎁送肉泥🎁【法國皇家 ROYAL CANIN】貓乾糧 貓飼料 皇家貓飼料 幼母貓 成貓【小包裝】 [3],正在進行,商品廣告,29630399387,-,全站推廣 - 系統自動最佳化,所有,2026/03/14 00:00:00,無限制,86,4,4.65%,3,75.00%,4,2,100.00%,50.00%,25.00,50.00,8,6,6451.00,6451.00,100.00,64.51,64.51,1.55%,1.55%,-,-,-,0.00,0.00
