所有CPC成效報告 - Shopee台灣
使用者名稱,dramatic_pet_shop
賣場名稱,貓狗超有事
賣場ID,1454288079
報表匯出時間,2026/09/10 11:24
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/19 00:00:00,無限制,873,26,2.98%,-,-,2,1,7.69%,3.85%,100.00,200.00,3,2,1270.00,1270.00,200.00,6.35,6.35,15.75%,15.75%,-,-,-,0.00,0.00
2,【快速到貨】🐶貓狗超有事🐱【YEASTER 易思達】日本柴犬糧 犬飼料 狗飼料 狗糧 日本犬糧 小包裝【2kg-6kg】,正在進行,商品廣告,28427533520,-,全站推廣 - 系統自動最佳化,所有,2025/07/14 00:00:00,無限制,1932,16,0.83%,2,12.50%,1,1,6.25%,6.25%,83.55,83.55,1,1,410.00,410.00,83.55,4.91,4.91,20.38%,20.38%,-,-,-,0.00,0.00
3,🎁送肉泥🎁🐶貓狗超有事🐱【TOMA-PRO 優格】貓飼料 經典 / 零穀 / 親親系列 貓糧 大包裝 [2],正在進行,商品廣告,27876177502,-,全站推廣 - 系統自動最佳化,所有,2025/09/17 00:00:00,無限制,1190,56,4.71%,10,17.86%,2,1,3.57%,1.79%,74.66,149.32,2,1,2155.00,2155.00,149.32,14.43,14.43,6.93%,6.93%,-,-,-,0.00,0.00
4,台灣現貨【快速到貨】🐶貓狗超有事🐱【享生活】多功能附蓋收納箱 置物箱 收納籃 置物籃 收納 民生用品 生活用品,正在進行,商品廣告,46703350767,-,全站推廣 - 系統自動最佳化,所有,2026/05/21 00:00:00,無限制,691,15,2.17%,1,6.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,32.93,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,【快速到貨】🐶貓狗超有事【耐吉斯 Solution 犬飼料】無穀飼料 狗飼料 E/P/V系列【4.5lb-10lb】小包,正在進行,商品廣告,26174531672,-,全站推廣 - 系統自動最佳化,所有,2025/06/02 00:00:00,無限制,640,14,2.19%,6,42.86%,5,5,35.71%,35.71%,60.00,60.00,5,5,3324.00,3324.00,300.00,11.08,11.08,9.03%,9.03%,-,-,-,0.00,0.00
6,【快速到貨】🐶貓狗超有事🐱【Blue buffalo 藍摯】無穀貓飼料 貓乾糧 飼料 小包裝 0.9kg-4.9kg,正在進行,商品廣告,43476276635,-,全站推廣 - 系統自動最佳化,所有,2026/03/31 00:00:00,無限制,625,12,1.92%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,12.31,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
7,【快速到貨】🐶貓狗超有事🐱【驕傲貓 Cat Glory】芝心凍乾 綜合口味 貓凍乾 貓零食 貓點心 凍乾零食 100g,正在進行,商品廣告,56409956725,-,全站推廣 - 系統自動最佳化,所有,2026/05/26 00:00:00,無限制,464,6,1.29%,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,11.36,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
8,【傘の世界】台灣現貨 快速到貨 反向晴雨傘 遮陽傘 雨傘 自動傘 反向傘 摺疊傘 生活用品 民生用品🐶貓狗超有事🐱,正在進行,商品廣告,45815960399,-,"第一階段：系統自動最佳化, 第二階段：系統自動最佳化",所有,2026/09/04 00:00:00,無限制,447,21,4.70%,2,9.52%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,53.83,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
9,【快速到貨】🐶貓狗超有事🐱送餐包【心寵】全齡貓 水解飼料 貓飼料 貓糧 貓乾糧 飼料 心寵飼料【小包裝】1.6kg,正在進行,商品廣告,55255850763,-,全站推廣 - 系統自動最佳化,所有,2026/03/24 00:00:00,無限制,427,10,2.34%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,28.55,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
10,🎁送肉泥🎁貓狗超有事【法國皇家 ROYAL CANIN】貓乾糧 貓飼料 皇家貓飼料 幼母貓 成貓【小包裝】 [2],正在進行,商品廣告,26274525663,-,全站推廣 - 系統自動最佳化,所有,2026/05/15 00:00:00,無限制,254,6,2.36%,3,50.00%,5,3,83.33%,50.00%,80.00,133.33,6,4,5571.00,5571.00,400.00,13.93,13.93,7.18%,7.18%,-,-,-,0.00,0.00
