所有CPC成效報告 - Shopee台灣
使用者名稱,proudcatdog
賣場名稱,驕傲貓狗王國
賣場ID,1404293899
報表匯出時間,2026/09/10 11:21
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,1961,63,3.21%,-,-,2,2,3.17%,3.17%,100.00,100.00,2,2,2012.00,2012.00,200.00,10.06,10.06,9.94%,9.94%,-,-,-,0.00,0.00
2,🔥快速到貨🔥驕傲貓狗【Herz 赫緻】美饌低溫風乾犬糧 狗糧 乾糧 犬飼料 狗飼料 無穀飼料 小包裝 454g-1kg,正在進行,商品廣告,40602969056,-,全站推廣 - 系統自動最佳化,所有,2026/03/19 00:00:00,無限制,1666,33,1.98%,5,15.15%,7,7,21.21%,21.21%,85.71,85.71,18,18,16450.00,16450.00,600.00,27.42,27.42,3.65%,3.65%,-,-,-,0.00,0.00
3,台灣現貨🔥快速到貨🔥驕傲貓狗【享生活】加高夾縫櫃 收納櫃 收納架 儲物櫃 分層收納 民生用品 生活用品,正在進行,商品廣告,52609537077,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,1423,48,3.37%,4,8.33%,2,2,4.17%,4.17%,50.00,50.00,2,2,1250.00,1250.00,100.00,12.50,12.50,8.00%,8.00%,-,-,-,0.00,0.00
4,🔥快速到貨🔥驕傲貓狗【Solid Gold 素力高】貓咪主食餐包12入 無穀餐包 貓餐包 貓主食 貓咪餐包 貓濕糧,正在進行,商品廣告,52811232699,-,全站推廣 - 系統自動最佳化,所有,2026/06/25 00:00:00,無限制,622,9,1.45%,2,22.22%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,25.32,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,🔥快速到貨🔥驕傲貓狗【卡默 Camo】狗鮮食餐盒 狗餐盒 鮮食餐盒 狗罐頭 犬罐頭 犬餐盒 犬零食 100g,正在進行,商品廣告,41954789202,-,全站推廣 - 系統自動最佳化,所有,2026/07/30 00:00:00,無限制,556,20,3.60%,10,50.00%,5,3,25.00%,15.00%,20.00,33.33,15,10,435.00,280.00,100.00,4.35,2.80,22.99%,35.71%,-,-,-,0.00,0.00
6,🔥送肉泥🔥【ROYAL CANIN 法國皇家】貓飼料 貓糧 皇家飼料 小包裝 1.5kg-4kg😼驕傲貓狗🐶 [2],正在進行,商品廣告,27069695497,-,全站推廣 - 系統自動最佳化,所有,2026/02/05 00:00:00,無限制,380,10,2.63%,4,40.00%,5,5,50.00%,50.00%,100.00,100.00,6,6,7705.00,7705.00,500.00,15.41,15.41,6.49%,6.49%,-,-,-,0.00,0.00
7,🔥快速到貨🔥驕傲貓狗【驕傲貓 Cat Glory】芝心凍乾綜合包 綜合口味 貓凍乾 貓零食 貓點心 凍乾零食 100g,正在進行,商品廣告,42530620820,-,全站推廣 - 系統自動最佳化,所有,2026/06/16 00:00:00,無限制,339,5,1.47%,2,40.00%,1,1,20.00%,20.00%,100.00,100.00,1,1,425.00,425.00,100.00,4.25,4.25,23.53%,23.53%,-,-,-,0.00,0.00
8,🔥送肉泥🔥【TOMA-PRO 優格】經典/零穀/親親系列 貓飼料 貓乾糧 優格飼料 小包裝😼驕傲貓狗🐶,正在進行,商品廣告,28822130641,-,全站推廣 - 系統自動最佳化,所有,2025/07/03 00:00:00,無限制,284,6,2.11%,1,16.67%,3,3,50.00%,50.00%,66.67,66.67,5,5,3397.00,3397.00,200.00,16.98,16.98,5.89%,5.89%,-,-,-,0.00,0.00
9,🔥快速到貨🔥驕傲貓狗【NB 自然平衡】犬飼料 狗飼料 乾糧 天然犬糧 低敏無穀 成犬 狗糧【小包裝】4LB-4.5LB,正在進行,商品廣告,29772419768,-,全站推廣 - 系統自動最佳化,所有,2025/04/24 00:00:00,無限制,282,6,2.13%,0,0.00%,2,2,33.33%,33.33%,50.00,50.00,2,2,1860.00,1860.00,100.00,18.60,18.60,5.38%,5.38%,-,-,-,0.00,0.00
10,🔥快速到貨🔥驕傲貓狗【小雞上宮】犬零食組合包 狗零食 犬用零食 寵物零食 棒棒糖 小香腸 啾啾腸 360g-420g,正在進行,商品廣告,56211694918,-,全站推廣 - 系統自動最佳化,所有,2026/06/16 00:00:00,無限制,276,7,2.54%,1,14.29%,1,1,14.29%,14.29%,83.77,83.77,2,2,792.00,792.00,83.77,9.45,9.45,10.58%,10.58%,-,-,-,0.00,0.00
11,🔥快速到貨🔥驕傲貓狗【TAPAZO 特百滋】貓飼料 凍乾三重奏 無穀飼料 凍乾糧 貓糧【15LB】大包,正在進行,商品廣告,28223009280,-,全站推廣 - 系統自動最佳化,所有,2026/08/31 00:00:00,無限制,135,9,6.67%,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,100.00,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
12,🔥快速到貨🔥驕傲貓狗【NUTRAM 紐頓】貓糧 貓飼料 貓咪飼料 乾飼料 乾糧 1.13kg-2kg 小包裝,正在進行,商品廣告,42958002473,-,全站推廣 - 系統自動最佳化,所有,2025/08/15 00:00:00,無限制,130,1,0.77%,0,0.00%,2,2,200.00%,200.00%,100.00,100.00,2,2,1680.00,1680.00,200.00,8.40,8.40,11.90%,11.90%,-,-,-,0.00,0.00
