日期,萌寵（新和）,汪喵（中正）,毛寵（龍安）,大尾巴（長榮）,有才（成泰）,火箭（北大）,驕傲（明志）,毛一堆（泰山）,好時光（仁愛）,超有事（九芎）,得來速（五股）,熊好命（新和）,維尼（仁愛）,貓狗派對（內湖）,寵貓寵狗（中華）,總和
09/01（二）,15,9,25,20,64,13,12,14,9,12,7,13,16,5,3,237
09/02（三）,6,13,22,17,74,12,19,25,7,6,14,22,15,3,2,257
09/03（四）,11,24,17,36,70,8,11,18,10,6,11,10,15,5,3,255
09/04（五）,15,13,23,26,59,10,16,20,23,15,7,21,8,8,2,266
09/05（六）,10,13,24,16,53,11,5,15,13,10,8,9,10,6,6,209
09/06（日）,11,14,22,15,52,8,10,14,10,6,11,7,13,6,3,202
09/07（一）,12,13,17,25,55,17,15,19,6,9,11,11,20,8,5,243
09/08（二）,10,14,26,21,55,10,13,22,14,9,8,11,13,6,1,233
09/09（三）,53,57,56,68,214,24,32,40,31,25,22,47,35,20,16,740
09/10（四）,33,30,41,32,111,13,15,28,18,11,15,11,13,7,3,381
09/11（五）,16,14,21,25,37,5,10,12,10,5,9,12,7,3,4,190
09/12（六）,11,14,14,20,24,8,8,9,8,5,8,8,10,3,3,153
09/13（日）,16,7,17,18,34,10,9,16,9,11,6,6,12,1,6,178
09/14（一）,13,10,25,18,44,12,18,18,10,12,9,7,3,3,6,208
09/15（二）,16,7,19,23,47,5,15,20,10,8,8,7,9,5,4,203
09/16（三）,14,16,24,26,53,15,9,24,13,11,10,8,8,3,4,238
09/17（四）,20,12,17,20,40,8,11,10,14,14,11,11,12,5,8,213
09/18（五）,22,20,40,23,95,23,22,39,33,17,9,16,18,10,9,396
09/19（六）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/20（日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/21（一）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/22（二）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/23（三）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/24（四）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/25（五）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/26（六）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27（日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/28（一）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/29（二）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/30（三）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
區間總和,304,300,450,449,1181,212,250,363,248,192,184,237,237,107,88,4802
