日期,物流,"上午訂單數
(9點前)","上午可出貨
(已印)",上午未出,"09:01-15:00
訂單數","下午可出貨
(已印)","下午缺品
(未出)",當日總訂單,當日應出訂單數,當日可出貨,缺件未印,當日已出貨,當日已列印未出貨
2026-09-12,超商,19,19,0,6,6,0,25,25,25,0,25,0
2026-09-12,蝦店,125,125,0,65,65,0,190,190,190,0,190,0
2026-09-12,隔日,63,63,0,24,24,0,87,87,87,0,87,0
2026-09-12,店到宅,82,82,0,23,23,0,105,105,105,0,105,0
2026-09-12,新竹,46,46,0,15,15,0,61,61,61,0,61,0
2026-09-12,賣家宅配,2,2,0,0,0,0,2,2,2,0,2,0
2026-09-12,總和,337,337,0,133,133,0,470,470,470,0,470,0
2026-09-13,超商,17,17,0,7,7,0,24,24,24,0,24,0
2026-09-13,蝦店,184,184,0,71,71,0,255,255,255,0,255,0
2026-09-13,隔日,74,74,0,28,28,0,102,102,102,0,102,0
2026-09-13,店到宅,75,75,0,32,32,0,107,107,107,0,107,0
2026-09-13,新竹,51,51,0,24,24,0,75,75,75,0,75,0
2026-09-13,賣家宅配,3,3,0,2,2,0,5,5,5,0,5,0
2026-09-13,總和,404,404,0,164,164,0,568,568,568,0,568,0
2026-09-14,超商,14,14,0,8,8,0,22,22,22,0,22,0
2026-09-14,蝦店,199,199,0,61,61,0,260,260,260,0,259,1
2026-09-14,隔日,84,84,0,47,47,0,131,131,131,0,131,0
2026-09-14,店到宅,106,106,0,34,34,0,140,140,140,0,140,0
2026-09-14,新竹,60,60,0,27,27,0,87,87,87,0,86,1
2026-09-14,賣家宅配,4,4,0,0,0,0,4,4,4,0,4,0
2026-09-14,總和,467,467,0,177,177,0,644,644,644,0,642,2
2026-09-15,超商,12,12,0,5,5,0,17,17,17,0,17,0
2026-09-15,蝦店,51,51,0,42,42,0,93,93,93,0,92,1
2026-09-15,隔日,285,285,0,65,65,0,350,350,350,0,350,0
2026-09-15,店到宅,50,50,0,32,32,0,82,82,82,0,81,1
2026-09-15,新竹,67,67,0,41,41,0,108,108,108,0,107,1
2026-09-15,賣家宅配,5,5,0,4,4,0,9,9,9,0,9,0
2026-09-15,總和,470,470,0,189,189,0,659,659,659,0,656,3
2026-09-16,超商,13,13,0,8,7,1,21,21,20,1,20,0
2026-09-16,蝦店,46,46,0,36,31,5,82,82,77,5,72,5
2026-09-16,隔日,238,238,0,91,90,1,329,329,328,1,323,5
2026-09-16,店到宅,39,38,1,23,21,2,62,62,59,3,55,4
2026-09-16,新竹,66,66,0,27,24,3,93,93,90,3,83,7
2026-09-16,賣家宅配,3,3,0,2,2,0,5,5,5,0,5,0
2026-09-16,總和,405,404,1,187,175,12,592,592,579,13,558,21
2026-09-17,超商,13,12,1,8,0,8,21,21,12,9,8,4
2026-09-17,蝦店,50,47,3,27,0,27,77,77,47,30,34,13
2026-09-17,隔日,266,259,7,80,76,4,346,346,335,11,270,65
2026-09-17,店到宅,45,43,2,18,0,18,63,63,43,20,33,10
2026-09-17,新竹,66,62,4,20,2,18,86,86,64,22,50,14
2026-09-17,賣家宅配,8,4,4,0,0,0,8,8,4,4,4,0
2026-09-17,總和,448,427,21,153,78,75,601,601,505,96,399,106
2026-09-18,超商,27,0,27,0,0,0,27,27,0,27,0,0
2026-09-18,蝦店,103,0,103,2,0,2,105,105,0,105,0,0
2026-09-18,隔日,364,0,364,6,0,6,370,370,0,370,0,0
2026-09-18,店到宅,75,0,75,1,0,1,76,76,0,76,0,0
2026-09-18,新竹,102,0,102,2,0,2,104,104,0,104,0,0
2026-09-18,賣家宅配,2,0,2,0,0,0,2,2,0,2,0,0
2026-09-18,總和,673,0,673,11,0,11,684,684,0,684,0,0
