平台_部門,法米納_狗糧_800g,法米納_貓糧_300g,法米納_貓糧_400g,歐姆包肉泥30條送3條肉泥,歐姆貓肉泥60條送10條肉泥,愛可嚼起司塊綜合口味17包+3包,驕傲貓芝心凍乾綜合口味17包+3包,鮮肉大廚 雞腿,天然密碼銀離子濕紙巾10抽(6種),小雞上宮 棒棒糖綜合口味(22+2),小雞上宮 香腸綜合口味(22+2),SHINY 雪亮 葉黃素 口服美容精華液,素力高_貓餐包_85g,素力高_隨機_貓餐包85g*12_26/11/1,艾富鮮_火雞優多_小牛肋骨捲火雞筋2包,嗶啵晶球肉泥15G隨機*60入,DRINK ME!魚油肉泥15g隨機*60入,雨傘總和,櫃子總和,總和,09/16日總和
蝦皮_網路部,34,130,15,52,136,0,0,925,0,1,1,56,2,14,5,101,34,71,51,1628,72
蝦皮_門市,36,129,5,36,154,0,2,143,1,2,3,72,5,18,0,0,0,29,42,677,33
MOMO,0,4,1,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,8,47,0
PChome,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,15,22,2
MO店+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
酷澎,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,7,0
東森,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Yahoo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
09/16總和,2,14,1,6,24,0,0,44,0,0,0,3,0,4,0,1,2,1,5,107,107
總和,72,267,21,88,323,0,2,1068,1,3,4,133,7,32,5,102,34,103,129,2394,
09/16銷售額總和,1180,5410,460,1260,10080,0,0,1104,0,0,0,417,0,599.01,0,330,660,185,2448,24133.01,
銷售額總和,42917,100390,10373,18480,145868,0,850,26957,25,1254,1496,19980,1593,5169.01,2325,30768,10373,16928,71084,506830.01,
