"處理時間","報表類型","動作","原始路徑","目標路徑","統計開始日","統計結束日","產出時間","檔案大小","結果","備註"
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260612_104124.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260612_104124.png","20260601","20260630","20260612_104124","405513","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260612_110341.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260612_110341.png","20260601","20260630","20260612_110341","404405","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260612_113054.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260612_113054.png","20260601","20260630","20260612_113054","404773","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260616_103552.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260616_103552.png","20260601","20260630","20260616_103552","418833","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260622_160347.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260622_160347.png","20260601","20260630","20260622_160347","440126","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260622_163313.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260622_163313.png","20260601","20260630","20260622_163313","440275","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260622_170348.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260622_170348.png","20260601","20260630","20260622_170348","440122","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_110045.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_110045.png","20260601","20260630","20260623_110045","442967","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_123334.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_123334.png","20260601","20260630","20260623_123334","443562","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_125309.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_125309.png","20260601","20260630","20260623_125309","443958","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_132134.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_132134.png","20260601","20260630","20260623_132134","444365","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_141306.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_141306.png","20260601","20260630","20260623_141306","443775","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_150524.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_150524.png","20260601","20260630","20260623_150524","444148","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_153340.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_153340.png","20260601","20260630","20260623_153340","444200","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_153911.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_153911.png","20260601","20260630","20260623_153911","444716","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_160402.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_160402.png","20260601","20260630","20260623_160402","443609","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_163315.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_163315.png","20260601","20260630","20260623_163315","443986","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_170326.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_170326.png","20260601","20260630","20260623_170326","443947","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260623_180402.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260623_180402.png","20260601","20260630","20260623_180402","444418","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_104006.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_104006.png","20260601","20260630","20260624_104006","449087","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_120822.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_120822.png","20260601","20260630","20260624_120822","448543","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_150122.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_150122.png","20260601","20260630","20260624_150122","447888","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_150956.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_150956.png","20260601","20260630","20260624_150956","448200","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_151358.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_151358.png","20260601","20260630","20260624_151358","448361","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_153014.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_153014.png","20260601","20260630","20260624_153014","448132","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260624_155048.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260624_155048.png","20260601","20260630","20260624_155048","448171","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260625_102930.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260625_102930.png","20260601","20260630","20260625_102930","453138","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260625_104755.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260625_104755.png","20260601","20260630","20260625_104755","451045","成功",""
"2026-09-04 11:03:17","店家訂單數日報","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\店家訂單數日報_統計20260601-20260630_產出20260625_124916.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年06月\店家訂單數日報_統計20260601-20260630_產出20260625_124916.png","20260601","20260630","20260625_124916","451040","成功",""
